ekatte;postal_code;type;name;name_latin;municipality;municipality_latin;district;district_latin
14283;3469;с.;Гаврил Геново;Gavril Genovo;Георги Дамяново;Georgi Damyanovo;Монтана;Montana
14297;3525;с.;Гаганица;Gaganitsa;Берковица;Berkovitsa;Монтана;Montana
14307;7831;с.;Гагово;Gagovo;Попово;Popovo;Търговище;Targovishte
14310;5367;с.;Гайдари;Gaydari;Трявна;Tryavna;Габрово;Gabrovo
14324;5300;с.;Гайкини;Gaykini;Габрово;Gabrovo;Габрово;Gabrovo
14338;2114;с.;Гайтанево;Gaytanevo;Горна Малина;Gorna Malina;София;Sofia
14341;2924;с.;Гайтаниново;Gaytaninovo;Хаджидимово;Hadzhidimovo;Благоевград;Blagoevgrad
14355;5345;с.;Гайтаните;Gaytanite;Габрово;Gabrovo;Габрово;Gabrovo
14369;3753;с.;Гайтанци;Gaytantsi;Видин;Vidin;Видин;Vidin
14386;5731;с.;Галата;Galata;Тетевен;Teteven;Ловеч;Lovech
14390;3071;с.;Галатин;Galatin;Криводол;Krivodol;Враца;Vratsa
14406;3250;с.;Галиче;Galiche;Бяла Слатина;Byala Slatina;Враца;Vratsa
14413;4934;с.;Галище;Galishte;Мадан;Madan;Смолян;Smolyan
14427;3342;с.;Галово;Galovo;Оряхово;Oryahovo;Враца;Vratsa
14430;5084;с.;Ганев дол;Ganev dol;Елена;Elena;Велико Търново;Veliko Tarnovo
14458;5397;с.;Ганчовец;Ganchovets;Дряново;Dryanovo;Габрово;Gabrovo
14533;5345;с.;Гарван;Garvan;Габрово;Gabrovo;Габрово;Gabrovo
14547;7589;с.;Гарван;Garvan;Ситово;Sitovo;Силистра;Silistra
14550;6349;с.;Гарваново;Garvanovo;Хасково;Haskovo;Хасково;Haskovo
14578;5041;с.;Гащевци;Gashtevtsi;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
14581;2882;с.;Гега;Gega;Петрич;Petrich;Благоевград;Blagoevgrad
14605;4710;с.;Гела;Gela;Смолян;Smolyan;Смолян;Smolyan
14619;4444;с.;Гелеменово;Gelemenovo;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
14647;6856;с.;Генерал Гешево;General Geshevo;Джебел;Dzhebel;Кърджали;Kardzhali
32740;8670;с.;Генерал Инзово;General Inzovo;Тунджа;Tundzha;Ямбол;Yambol
14653;9150;с.;Генерал Кантарджиево;General Kantardzhievo;Аксаково;Aksakovo;Варна;Varna
14667;9142;с.;Генерал Киселово;General Kiselovo;Вълчи дол;Valchi dol;Варна;Varna
14670;9295;с.;Генерал Колево;General Kolevo;Вълчи дол;Valchi dol;Варна;Varna
14684;9373;с.;Генерал Колево;General Kolevo;Добрич-селска;Dobrich-selska;Добрич;Dobrich
14698;3732;с.;Генерал Мариново;General Marinovo;Видин;Vidin;Видин;Vidin
58390;2873;с.;Генерал Тодоров;General Todorov;Петрич;Petrich;Благоевград;Blagoevgrad
14711;9500;гр.;Генерал Тошево;General Toshevo;Генерал Тошево;General Toshevo;Добрич;Dobrich
14725;8625;с.;Генерал Тошево;General Toshevo;Тунджа;Tundzha;Ямбол;Yambol
14708;6523;с.;Генералово;Generalovo;Свиленград;Svilengrad;Хасково;Haskovo
14742;5307;с.;Геновци;Genovtsi;Габрово;Gabrovo;Габрово;Gabrovo
56304;5301;с.;Генчовци;Genchovtsi;Габрово;Gabrovo;Габрово;Gabrovo
56304;5350;с.;Генчовци;Genchovtsi;Трявна;Tryavna;Габрово;Gabrovo
14756;5301;с.;Генчовци;Genchovtsi;Габрово;Gabrovo;Габрово;Gabrovo
14756;5350;с.;Генчовци;Genchovtsi;Трявна;Tryavna;Габрово;Gabrovo
14762;5397;с.;Геня;Genya;Дряново;Dryanovo;Габрово;Gabrovo
14773;3470;с.;Георги Дамяново;Georgi Damyanovo;Георги Дамяново;Georgi Damyanovo;Монтана;Montana
14787;6559;с.;Георги Добрево;Georgi Dobrevo;Любимец;Lyubimets;Хасково;Haskovo
14800;8869;с.;Гергевец;Gergevets;Сливен;Sliven;Сливен;Sliven
14814;5345;с.;Гергини;Gergini;Габрово;Gabrovo;Габрово;Gabrovo
14831;1186;с.;Герман;German;Столична община;Stolichna obshtina;София;Sofia
18589;7219;с.;Гецово;Getsovo;Разград;Razgrad;Разград;Razgrad
14859;5370;с.;Геша;Gesha;Дряново;Dryanovo;Габрово;Gabrovo
14862;9393;с.;Гешаново;Geshanovo;Добрич-селска;Dobrich-selska;Добрич;Dobrich
14876;5970;с.;Гиген;Gigen;Гулянци;Gulyantsi;Плевен;Pleven
14893;2393;с.;Гигинци;Gigintsi;Брезник;Breznik;Перник;Pernik
14903;2250;с.;Гинци;Gintsi;Годеч;Godech;София;Sofia
14917;2546;с.;Гирчевци;Girchevtsi;Кюстендил;Kyustendil;Кюстендил;Kyustendil
14920;6215;с.;Гита;Gita;Чирпан;Chirpan;Стара Загора;Stara Zagora
14934;5985;с.;Глава;Glava;Червен бряг;Cherven bryag;Плевен;Pleven
14948;7543;с.;Главан;Glavan;Силистра;Silistra;Силистра;Silistra
14951;6295;с.;Главан;Glavan;Гълъбово;Galabovo;Стара Загора;Stara Zagora
14965;3468;с.;Главановци;Glavanovtsi;Георги Дамяново;Georgi Damyanovo;Монтана;Montana
14979;2480;с.;Главановци;Glavanovtsi;Трън;Tran;Перник;Pernik
14982;9499;с.;Главанци;Glavantsi;Тервел;Tervel;Добрич;Dobrich
14996;4171;с.;Главатар;Glavatar;Калояново;Kaloyanovo;Пловдив;Plovdiv
15000;6738;с.;Главатарци;Glavatartsi;Кърджали;Kardzhali;Кърджали;Kardzhali
15014;3045;с.;Главаци;Glavatsi;Криводол;Krivodol;Враца;Vratsa
15028;4409;с.;Главиница;Glavinitsa;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
15031;7630;гр.;Главиница;Glavinitsa;Главиница;Glavinitsa;Силистра;Silistra
18544;6789;с.;Главник;Glavnik;Ардино;Ardino;Кърджали;Kardzhali
15045;7986;с.;Глашатай;Glashatay;Антоново;Antonovo;Търговище;Targovishte
15059;5345;с.;Гледаци;Gledatsi;Габрово;Gabrovo;Габрово;Gabrovo
15062;6263;с.;Гледачево;Gledachevo;Раднево;Radnevo;Стара Загора;Stara Zagora
15093;6362;с.;Гледка;Gledka;Стамболово;Stambolovo;Хасково;Haskovo
15103;7879;с.;Глогинка;Gloginka;Попово;Popovo;Търговище;Targovishte
15117;4948;с.;Глогино;Glogino;Баните;Banite;Смолян;Smolyan
15120;5080;с.;Глоговец;Glogovets;Елена;Elena;Велико Търново;Veliko Tarnovo
15134;2463;с.;Глоговица;Glogovitsa;Трън;Tran;Перник;Pernik
15148;5724;с.;Глогово;Glogovo;Тетевен;Teteven;Ловеч;Lovech
15151;7040;гр.;Глоджево;Glodzhevo;Ветово;Vetovo;Русе;Ruse
18505;3327;с.;Гложене;Glozhene;Козлодуй;Kozloduy;Враца;Vratsa
15165;5740;с.;Гложене;Glozhene;Тетевен;Teteven;Ловеч;Lovech
15179;6572;с.;Глумово;Glumovo;Ивайловград;Ivaylovgrad;Хасково;Haskovo
15182;8429;с.;Глумче;Glumche;Карнобат;Karnobat;Бургас;Burgas
15196;5363;с.;Глутниците;Glutnitsite;Трявна;Tryavna;Габрово;Gabrovo
15206;8866;с.;Глуфишево;Glufishevo;Сливен;Sliven;Сливен;Sliven
15216;6647;с.;Глухар;Gluhar;Кърджали;Kardzhali;Кърджали;Kardzhali
15223;5370;с.;Глушка;Glushka;Дряново;Dryanovo;Габрово;Gabrovo
15237;8879;с.;Глушник;Glushnik;Сливен;Sliven;Сливен;Sliven
15240;6590;с.;Гнездаре;Gnezdare;Ивайловград;Ivaylovgrad;Хасково;Haskovo
15268;6675;с.;Гняздово;Gnyazdovo;Кърджали;Kardzhali;Кърджали;Kardzhali
15271;4453;с.;Говедаре;Govedare;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
15285;2020;с.;Говедарци;Govedartsi;Самоков;Samokov;София;Sofia
15299;3474;с.;Говежда;Govezhda;Георги Дамяново;Georgi Damyanovo;Монтана;Montana
15309;2240;гр.;Годеч;Godech;Годеч;Godech;София;Sofia
15312;2938;с.;Годешево;Godeshevo;Сатовча;Satovcha;Благоевград;Blagoevgrad
15326;2768;с.;Годлево;Godlevo;Разлог;Razlog;Благоевград;Blagoevgrad
15331;2366;с.;Гоз;Goz;Брезник;Breznik;Перник;Pernik
15343;4791;с.;Гоздевица;Gozdevitsa;Смолян;Smolyan;Смолян;Smolyan
15357;5392;с.;Гоздейка;Gozdeyka;Дряново;Dryanovo;Габрово;Gabrovo
15374;2036;с.;Голак;Golak;Костенец;Kostenets;София;Sofia
15549;2800;с.;Голем Цалим;Golem Tsalim;Сандански;Sandanski;Благоевград;Blagoevgrad
15432;2113;с.;Голема Раковица;Golema Rakovitsa;Елин Пелин;Elin Pelin;София;Sofia
15446;2667;с.;Голема Фуча;Golema Fucha;Бобов дол;Bobov dol;Кюстендил;Kyustendil
15391;5070;с.;Големани;Golemani;Елена;Elena;Велико Търново;Veliko Tarnovo
15401;5054;с.;Големаните;Golemanite;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
15415;3839;с.;Големаново;Golemanovo;Кула;Kula;Видин;Vidin
15429;6358;с.;Големанци;Golemantsi;Хасково;Haskovo;Хасково;Haskovo
15463;5370;с.;Големи Българени;Golemi Balgareni;Дряново;Dryanovo;Габрово;Gabrovo
15480;5365;с.;Големи Станчовци;Golemi Stanchovtsi;Трявна;Tryavna;Габрово;Gabrovo
15494;3063;с.;Големо Бабино;Golemo Babino;Криводол;Krivodol;Враца;Vratsa
