municipality_code;municipality;municipality_latin;rik_code;rik_name
2736;Чирпан;Chirpan;27;Стара Загора
2737;Гурково;Gurkovo;27;Стара Загора
2738;Николаево;Nikolaevo;27;Стара Загора
2802;Антоново;Antonovo;28;Търговище
2822;Омуртаг;Omurtag;28;Търговище
2823;Опака;Opaka;28;Търговище
2824;Попово;Popovo;28;Търговище
2835;Търговище;Targovishte;28;Търговище
2909;Димитровград;Dimitrovgrad;29;Хасково
2911;Ивайловград;Ivaylovgrad;29;Хасково
2917;Любимец;Lyubimets;29;Хасково
2918;Маджарово;Madzharovo;29;Хасково
2919;Минерални бани;Mineralni bani;29;Хасково
2928;Свиленград;Svilengrad;29;Хасково
2929;Симеоновград;Simeonovgrad;29;Хасково
2930;Стамболово;Stambolovo;29;Хасково
2932;Тополовград;Topolovgrad;29;Хасково
2933;Харманли;Harmanli;29;Хасково
2934;Хасково;Haskovo;29;Хасково
3007;Венец;Venets;30;Шумен
3010;Върбица;Varbitsa;30;Шумен
3011;Хитрино;Hitrino;30;Шумен
3018;Каолиново;Kaolinovo;30;Шумен
3019;Каспичан;Kaspichan;30;Шумен
3021;Никола Козлево;Nikola Kozlevo;30;Шумен
3022;Нови пазар;Novi pazar;30;Шумен
3023;Велики Преслав;Veliki Preslav;30;Шумен
3025;Смядово;Smyadovo;30;Шумен
3030;Шумен;Shumen;30;Шумен
3103;Болярово;Bolyarovo;31;Ямбол
3107;Елхово;Elhovo;31;Ямбол
3122;Стралджа;Straldzha;31;Ямбол
3125;Тунджа;Tundzha;31;Ямбол
3126;Ямбол;Yambol;31;Ямбол
