section_id;registered_voters
030602105;394
030602106;387
030602107;766
030602108;888
030602109;912
030602110;727
030602111;812
030602112;885
030602113;703
030602114;635
030602115;893
030602116;728
030602117;833
030602118;772
030602119;781
030602120;961
030602121;771
030602122;862
030602123;941
030602124;843
030602125;826
030602126;868
030602127;735
030602128;756
030602129;862
030602130;878
030602131;897
030602132;999
030602133;661
030602134;769
030602135;780
030602136;673
030602137;893
030602138;1031
030602139;870
030602140;918
030602141;938
030602142;997
030602143;698
030602144;722
030602145;699
030602146;744
030602147;811
030602148;642
030602149;647
030602150;761
030602151;828
030602152;886
030602153;558
030602154;958
030602155;631
030602156;572
030602157;628
030602158;598
030602159;600
030602160;617
030602161;641
030602162;663
030602163;640
030602164;651
030602165;848
030602166;602
030602167;535
030602168;639
030602169;897
030602170;740
030602171;1176
030602172;1342
030602173;558
030602174;676
030602175;1093
030602176;970
030602177;978
030602178;1047
030602179;890
030602180;988
030602181;1013
030602182;754
030602183;890
030602184;1054
030602185;683
030602186;717
030602187;718
030602188;839
030602189;1011
030602190;927
030602191;686
030602388;545
030602389;603
030602390;483
030602391;457
030602392;554
030602394;963
030603192;804
030603193;1099
030603194;978
030603195;875
030603196;794
030603197;820
030603198;944
030603199;957
030603200;784
030603201;799
030603202;864
030603203;862
030603204;814
030603205;857
030603206;712
030603207;766
030603208;869
030603209;891
030603210;774
030603211;693
030603212;795
030603213;1127
030603214;508
030603215;902
030603216;671
030603217;508
030603218;957
030603219;487
030603220;641
030603221;724
030603222;358
030603223;433
030603224;484
030603225;383
030603226;775
030603227;918
030603228;657
030603229;409
030603230;633
030603231;652
030603232;600
030603233;665
030603234;628
030603235;574
030603236;549
030603237;935
030603238;1154
030603239;953
030603240;730
030603241;734
030603242;663
030603243;758
030603244;736
030603245;805
030603246;479
030603247;404
030603248;607
030603249;420
030603250;713
030603251;762
030603252;447
030603253;586
030603254;429
030603255;502
030603256;480
030603257;565
030603258;800
030603259;525
030603260;638
030603261;791
030603262;812
030603263;684
030603264;727
030603265;353
030603266;939
030603267;850
030603268;661
030603269;675
030603270;632
030603271;774
030603272;652
030603273;892
030603274;778
030603275;988
030603276;799
030603277;669
030603278;684
030603279;826
030603280;776
030603281;907
030603282;621
030603283;543
030603284;618
030603285;615
030603286;795
030603287;443
030603288;560
030603289;379
030603290;758
030603393;803
030604291;470
030604292;511
030604293;484
030604294;604
030604295;495
030604296;566
030604297;744
030604298;579
030604299;768
030604300;900
030604301;604
030604302;584
030604303;356
030604304;532
030604305;400
030604306;386
030604307;693
030604308;606
030604309;700
030604310;763
030604311;832
030604312;890
030604313;769
030604314;717
030604315;834
030604316;704
030604317;706
030604318;631
030604319;646
030604320;678
030604321;641
030604322;645
030604323;625
030604324;812
030604325;706
030604326;816
030604327;632
030604328;385
030604329;416
030604330;410
030604331;450
030604332;551
030604333;712
030604334;537
030604335;445
030604336;635
030604337;481
030604338;730
030604339;420
030604340;573
030604341;837
030604342;479
030604343;600
030604344;440
030604345;725
030604346;532
030604347;743
030604348;433
030604349;467
030604350;656
030604351;502
030605352;1012
030605353;841
030605354;926
030605355;848
030605356;869
030605357;870
030605358;669
030605359;634
030605360;721
030605361;1014
030605362;851
030605363;886
030605364;840
030605365;920
030605366;833
030605367;854
030605368;843
030605369;785
030605370;718
030605371;763
030605372;778
030605373;818
030605374;912
030605375;1085
030605376;997
030605377;1187
030699378;644
030699379;489
030699380;636
030699381;731
030699382;325
030699383;435
030699384;800
030699385;764
030699386;962
030699387;1083
030800001;728
030800002;87
030800003;244
030800004;374
030800005;693
030800006;642
030800007;181
030800008;302
030800009;396
030800010;134
030800011;37
030800012;409
030800013;425
030900001;534
030900002;590
030900003;591
030900004;846
